instance_name algorithm_name best_objective running_time
DU40-P4-1 MILP 3883.9500543702466 1
nb_riders nb_polygons
4 40
x_3_3 = 1.0
x_3_4 = 1.0
x_3_9 = 1.0
x_3_10 = 1.0
x_3_18 = 1.0
x_3_23 = 1.0
x_3_27 = 1.0
x_3_29 = 1.0
x_3_30 = 1.0
x_3_31 = 1.0
x_36_1 = 1.0
x_36_5 = 1.0
x_36_6 = 1.0
x_36_8 = 1.0
x_36_20 = 1.0
x_36_24 = 1.0
x_36_26 = 1.0
x_36_32 = 1.0
x_36_36 = 1.0
x_36_37 = 1.0
x_38_0 = 1.0
x_38_7 = 1.0
x_38_13 = 1.0
x_38_14 = 1.0
x_38_17 = 1.0
x_38_19 = 1.0
x_38_22 = 1.0
x_38_28 = 1.0
x_38_33 = 1.0
x_38_38 = 1.0
x_39_2 = 1.0
x_39_11 = 1.0
x_39_12 = 1.0
x_39_15 = 1.0
x_39_16 = 1.0
x_39_21 = 1.0
x_39_25 = 1.0
x_39_34 = 1.0
x_39_35 = 1.0
x_39_39 = 1.0
