instance_name algorithm_name best_objective running_time
DU40-P4-9 MILP 3746.043584753036 0
nb_riders nb_polygons
4 40
x_5_0 = 1.0
x_5_1 = 1.0
x_5_4 = 1.0
x_5_5 = 1.0
x_5_17 = 1.0
x_5_18 = 1.0
x_5_24 = 1.0
x_5_26 = 1.0
x_5_27 = 1.0
x_5_33 = 1.0
x_23_7 = 1.0
x_23_8 = 1.0
x_23_10 = 1.0
x_23_12 = 1.0
x_23_13 = 1.0
x_23_15 = 1.0
x_23_19 = 1.0
x_23_20 = 1.0
x_23_23 = 1.0
x_23_35 = 1.0
x_25_2 = 1.0
x_25_6 = 1.0
x_25_21 = 1.0
x_25_22 = 1.0
x_25_25 = 1.0
x_25_30 = 1.0
x_25_31 = 1.0
x_25_34 = 1.0
x_25_37 = 1.0
x_25_39 = 1.0
x_36_3 = 1.0
x_36_9 = 1.0
x_36_11 = 1.0
x_36_14 = 1.0
x_36_16 = 1.0
x_36_28 = 1.0
x_36_29 = 1.0
x_36_32 = 1.0
x_36_36 = 1.0
x_36_38 = 1.0
