instance_name algorithm_name best_objective running_time
DU40-P4-2 MILP 3838.845276901117 0
nb_riders nb_polygons
4 40
x_14_1 = 1.0
x_14_9 = 1.0
x_14_11 = 1.0
x_14_14 = 1.0
x_14_22 = 1.0
x_14_23 = 1.0
x_14_24 = 1.0
x_14_25 = 1.0
x_14_29 = 1.0
x_14_30 = 1.0
x_18_0 = 1.0
x_18_12 = 1.0
x_18_13 = 1.0
x_18_18 = 1.0
x_18_21 = 1.0
x_18_26 = 1.0
x_18_28 = 1.0
x_18_32 = 1.0
x_18_33 = 1.0
x_18_35 = 1.0
x_37_4 = 1.0
x_37_7 = 1.0
x_37_10 = 1.0
x_37_15 = 1.0
x_37_16 = 1.0
x_37_17 = 1.0
x_37_27 = 1.0
x_37_34 = 1.0
x_37_37 = 1.0
x_37_39 = 1.0
x_38_2 = 1.0
x_38_3 = 1.0
x_38_5 = 1.0
x_38_6 = 1.0
x_38_8 = 1.0
x_38_19 = 1.0
x_38_20 = 1.0
x_38_31 = 1.0
x_38_36 = 1.0
x_38_38 = 1.0
